"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"^GSPC","Nil","S&amp;P 500",2673.61,NA,NA,NA,NA,NA,NA,0.190848636827266,-0.00792587672590035,"https://finance.yahoo.com/quote/^GSPC?p=^GSPC","2,245.13 - 2,694.97",2694.97,2245.13
"^VIX","Nil","CBOE Volatility Index",11.04,NA,NA,NA,NA,NA,NA,0.289719626168224,-0.361111111111111,"https://finance.yahoo.com/quote/^VIX?p=^VIX","8.56 - 17.28",17.28,8.56
"2801.HK","Nil","ISHARES CHINA",28,"N/A",NA,NA,NA,NA,NA,0.521739130434783,-0.123630672926448,"https://finance.yahoo.com/quote/2801.HK?p=2801.HK","18.400 - 31.950",31.95,18.4
"2805.HK","Nil","VG FTSE ASIAXJ",25.65,"N/A",NA,NA,NA,NA,NA,0.379032258064516,-0.0209923664122138,"https://finance.yahoo.com/quote/2805.HK?p=2805.HK","18.600 - 26.200",26.2,18.6
"2821.HK","Nil","ABF Pan Asia Bond Index",117,NA,NA,NA,NA,NA,NA,0.0626702997275205,-0.00170648464163825,"https://finance.yahoo.com/quote/2821.HK?p=2821.HK","110.100 - 117.200",117.2,110.1
"A35.SI","Nil","ABF SG BOND ETF",1.172,"N/A",NA,NA,NA,NA,NA,0.0454950936663693,-0.00677966101694916,"https://finance.yahoo.com/quote/A35.SI?p=A35.SI","1.121 - 1.180",1.18,1.121
"AAXJ","Nil","iShares MSCI All Country Asia e",76.28,NA,NA,NA,NA,NA,NA,0.378886478669559,-0.0275369709331973,"https://finance.yahoo.com/quote/AAXJ?p=AAXJ","55.32 - 78.44",78.44,55.32
"ADRE","Nil","BLDRS Emerging Markets 50 ADR I",43.13,"5.65",NA,NA,NA,NA,NA,0.320980091883614,-0.0228817399184413,"https://finance.yahoo.com/quote/ADRE?p=ADRE","32.65 - 44.14",44.14,32.65
"ISAC.L","Nil","ISHARES V PUBLIC LIMITED COMPAN",48.425,NA,NA,NA,NA,NA,NA,0.421630508176027,0.000516528925619805,"https://finance.yahoo.com/quote/ISAC.L?p=ISAC.L","34.063 - 48.400",48.4,34.063
"BIK","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/BIK?p=BIK","",NA,NA
"BKF","Nil","iShares MSCI BRIC Index Fund",44.51,NA,NA,NA,NA,NA,NA,0.382298136645963,-0.0365800865800867,"https://finance.yahoo.com/quote/BKF?p=BKF","32.20 - 46.20",46.2,32.2
"BKF","Nil","iShares MSCI BRIC Index Fund",44.51,NA,NA,NA,NA,NA,NA,0.382298136645963,-0.0365800865800867,"https://finance.yahoo.com/quote/BKF?p=BKF","32.20 - 46.20",46.2,32.2
"BYJ.SI","Nil","PHIL AP DIV REIT S$D",1.385,"N/A",NA,NA,NA,NA,NA,0.538888888888889,-0.00716845878136201,"https://finance.yahoo.com/quote/BYJ.SI?p=BYJ.SI","0.900 - 1.395",1.395,0.9
"CHIM","Nil","Global X China Materials ETF",20.68,NA,NA,NA,NA,NA,NA,0.502906976744186,-0.090989010989011,"https://finance.yahoo.com/quote/CHIM?p=CHIM","13.76 - 22.75",22.75,13.76
"CHIX","Nil","Global X China Financials ETF",18,NA,NA,NA,NA,NA,NA,0.38996138996139,-0.03588644884842,"https://finance.yahoo.com/quote/CHIX?p=CHIX","12.95 - 18.67",18.67,12.95
"CVY","Nil","Guggenheim Multi-Asset Income E",22.42,NA,NA,NA,NA,NA,NA,0.107707509881423,-0.00708591674047815,"https://finance.yahoo.com/quote/CVY?p=CVY","20.24 - 22.58",22.58,20.24
"DEM","Nil","WisdomTree Emerging Markets Hig",45.35,NA,NA,NA,NA,NA,NA,0.204835281615303,-0.00417215634606934,"https://finance.yahoo.com/quote/DEM?p=DEM","37.64 - 45.54",45.54,37.64
"RWO","Nil","SPDR DJ Wilshire Global Real Es",48.88,NA,NA,NA,NA,NA,NA,0.0688825716160071,-0.0107265735681035,"https://finance.yahoo.com/quote/RWO?p=RWO","45.73 - 49.41",49.41,45.73
"GSG","Nil","iShares GSCI Commodity-Indexed ",16.28,NA,NA,NA,NA,NA,NA,0.236142748671223,-0.00610500610500597,"https://finance.yahoo.com/quote/GSG?p=GSG","13.17 - 16.38",16.38,13.17
"EDIV","Nil","SPDR S&amp;P Emerging Markets Divid",32.85,NA,NA,NA,NA,NA,NA,0.231721034870641,-0.00964727163099187,"https://finance.yahoo.com/quote/EDIV?p=EDIV","26.67 - 33.17",33.17,26.67
"EEM","Nil","iShares MSCI Emerging Index Fun",47.12,NA,NA,NA,NA,NA,NA,0.334844192634561,-0.016899645316086,"https://finance.yahoo.com/quote/EEM?p=EEM","35.30 - 47.93",47.93,35.3
"EEME","Nil","iShares MSCI Emerging Markets E",38.47,"N/A",NA,NA,NA,NA,NA,0.0020838760093774,0,"https://finance.yahoo.com/quote/EEME?p=EEME","38.39 - 38.47",38.47,38.39
"EFA","Nil","iShares MSCI EAFE ETF",70.31,NA,NA,NA,NA,NA,NA,0.215384615384615,-0.00916009019165715,"https://finance.yahoo.com/quote/EFA?p=EFA","57.85 - 70.96",70.96,57.85
"ERUS","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/ERUS?p=ERUS","",NA,NA
"ES3.SI","Nil","STI ETF",3.45,"N/A",NA,NA,NA,NA,NA,0.177474402730375,-0.017094017094017,"https://finance.yahoo.com/quote/ES3.SI?p=ES3.SI","2.93 - 3.51",3.51,2.93
"ESR","Nil","iShares MSCI Emerging Markets E",0,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/ESR?p=ESR","",NA,NA
"EWA","Nil","iShares MSCI Australia Index Fu",23.17,NA,NA,NA,NA,NA,NA,0.129692832764505,-0.0089820359281436,"https://finance.yahoo.com/quote/EWA?p=EWA","20.51 - 23.38",23.38,20.51
"EWC","Nil","iShares MSCI Canada Index Fund",29.64,NA,NA,NA,NA,NA,NA,0.158717748240813,-0.00603621730382293,"https://finance.yahoo.com/quote/EWC?p=EWC","25.58 - 29.82",29.82,25.58
"EWEM","Nil","Guggenheim MSCI Emerging Market",34.7542,NA,NA,NA,NA,NA,NA,0.238126113288208,0,"https://finance.yahoo.com/quote/EWEM?p=EWEM","28.0700 - 34.7542",34.7542,28.07
"EWH","Nil","iShares MSCI Hong Kong Index Fu",25.42,NA,NA,NA,NA,NA,NA,0.28774062816616,-0.029029793735676,"https://finance.yahoo.com/quote/EWH?p=EWH","19.74 - 26.18",26.18,19.74
"EWI","Nil","iShares MSCI Italy Capped Index",30.44,NA,NA,NA,NA,NA,NA,0.316039775183744,-0.037013603290098,"https://finance.yahoo.com/quote/EWI?p=EWI","23.13 - 31.61",31.61,23.13
"EWJ","Nil","iShares MSCI Japan Index Fund",59.93,NA,NA,NA,NA,NA,NA,0.224810954424688,-0.0126853377265239,"https://finance.yahoo.com/quote/EWJ?p=EWJ","48.93 - 60.70",60.7,48.93
