"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"PUW","Nil","Invesco WilderHill Progressive ",25.924,NA,NA,NA,NA,NA,NA,0.076578073089701,-0.0777659196015653,"https://finance.yahoo.com/quote/PUW?p=PUW","24.080 - 28.110",28.11,24.08
"PWV","Nil","Invesco Dynamic Large Cap Value",36.91,NA,NA,NA,NA,NA,NA,0.0581995412844035,-0.0888669464329796,"https://finance.yahoo.com/quote/PWV?p=PWV","34.88 - 40.51",40.51,34.88
"PZI","Nil","Invesco Zacks Micro Cap ETF",20.7899,NA,NA,NA,NA,NA,NA,0.206610562971561,-0.0038380450407284,"https://finance.yahoo.com/quote/PZI?p=PZI","17.2300 - 20.8700",20.87,17.23
"RKH","Nil","Market Vectors Bank and Brokera",54.72,NA,NA,NA,NA,NA,NA,194.428571428571,-0.0177705977382876,"https://finance.yahoo.com/quote/RKH?p=RKH","0.28 - 55.71",55.71,0.28
"RPV","Nil","Invesco S&amp;P 500 Pure Value ETF",67.57,NA,NA,NA,NA,NA,NA,0.153268475849121,-0.0528455284552847,"https://finance.yahoo.com/quote/RPV?p=RPV","58.59 - 71.34",71.34,58.59
"RSX","Nil","VanEck Vectors Russia ETF",20.37,NA,NA,NA,NA,NA,NA,0.124792932081723,-0.162762022194821,"https://finance.yahoo.com/quote/RSX?p=RSX","18.11 - 24.33",24.33,18.11
"RSX","Nil","VanEck Vectors Russia ETF",20.37,NA,NA,NA,NA,NA,NA,0.124792932081723,-0.162762022194821,"https://finance.yahoo.com/quote/RSX?p=RSX","18.11 - 24.33",24.33,18.11
"RSXJ","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/RSXJ?p=RSXJ","",NA,NA
"RTR","Nil","Oppenheimer ADR Revenue ETF",33.73,NA,NA,NA,NA,NA,NA,0.000296559905100771,-0.00236616385684725,"https://finance.yahoo.com/quote/RTR?p=RTR","33.72 - 33.81",33.81,33.72
"RWW","Nil","Oppenheimer S&amp;P Financials Reve",66.4634,NA,NA,NA,NA,NA,NA,0.127262550881954,-0.109427844030551,"https://finance.yahoo.com/quote/RWW?p=RWW","58.9600 - 74.6300",74.63,58.96
"RYF","Nil","Invesco S&amp;P 500 Equal Weight Fi",44,NA,NA,NA,NA,NA,NA,0.164945724119672,-0.0717299578059071,"https://finance.yahoo.com/quote/RYF?p=RYF","37.77 - 47.40",47.4,37.77
"SCJ","Nil","iShares MSCI Japan Sm Cap",80.83,NA,NA,NA,NA,NA,NA,0.18,-0.0528474337942349,"https://finance.yahoo.com/quote/SCJ?p=SCJ","68.50 - 85.34",85.34,68.5
"SEA","Nil","Invesco Shipping ETF",10.855,NA,NA,NA,NA,NA,NA,0.0528612997090204,-0.138492063492063,"https://finance.yahoo.com/quote/SEA?p=SEA","10.310 - 12.600",12.6,10.31
"SGDHKD=X","Nil","SGD/HKD",5.8122,NA,NA,NA,NA,NA,NA,-0.00571369919255514,0.00117132325076655,"https://finance.yahoo.com/quote/SGDHKD=X?p=SGDHKD=X","5.8456 - 5.8054",5.8054,5.8456
"SGLO.L","Nil","ISHARES III PLC ISHRS GLOBAL GO",80.4,NA,NA,NA,NA,NA,NA,0.0489236790606654,-0.0555620815223774,"https://finance.yahoo.com/quote/SGLO.L?p=SGLO.L","76.65 - 85.13",85.13,76.65
"SPHB","Nil","Invesco S&amp;P 500 High Beta ETF",45.2,NA,NA,NA,NA,NA,NA,0.253118935403382,-0.0182450043440486,"https://finance.yahoo.com/quote/SPHB?p=SPHB","36.07 - 46.04",46.04,36.07
"VGSH","Nil","Vanguard Short-Term Treasury ET",59.81,NA,NA,NA,NA,NA,NA,0.00184254606365158,-0.0183817495486624,"https://finance.yahoo.com/quote/VGSH?p=VGSH","59.70 - 60.93",60.93,59.7
"VTI","Nil","Vanguard Total Stock Market ETF",144.15,NA,NA,NA,NA,NA,NA,0.167395529640428,-0.0185197793967454,"https://finance.yahoo.com/quote/VTI?p=VTI","123.48 - 146.87",146.87,123.48
"THD","Nil","iShares Inc iShares MSCI Thaila",90.59,NA,NA,NA,NA,NA,NA,0.179710899856752,-0.126506604956128,"https://finance.yahoo.com/quote/THD?p=THD","76.79 - 103.71",103.71,76.79
"TUR","Nil","iShares MSCI Turkey Investable ",29.5,NA,NA,NA,NA,NA,NA,0.0120068610634649,-0.37407171652875,"https://finance.yahoo.com/quote/TUR?p=TUR","29.15 - 47.13",47.13,29.15
"UGEM","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/UGEM?p=UGEM","",NA,NA
